tolerance_broader0,predictor,coefficient,rank
more tolerant,(Intercept),-1.1570513854346438,1
more tolerant,public_v1509,0.8679747183796284,2
more tolerant,admitted_communist_lose_citizenship5,0.709794050320724,3
more tolerant,censor_antireligion_teacher5,-0.6451164873651287,4
more tolerant,church_communist5,0.40224570565511497,5
more tolerant,congressional_witness_silent8,-0.3142555897650434,6
more tolerant,child_rearing_respect3,0.29798879258812677,7
more tolerant,respondents_age5,-0.288855307067909,8
more tolerant,respondents_political_worries3,0.27772063647215683,9
more tolerant,reporting_communists_good_idea5,0.2659668503668096,10
more tolerant,lead_v1516,0.26529965626738333,11
more tolerant,xcongressional_committee_hurt_innocent8,-0.23215976331864613,12
more tolerant,bad_things_congressional_committee_done98,-0.1975808257979581,13
more tolerant,admitted_communist_fire_clerk5,0.17711312274625501,14
more tolerant,xwho_less_freedom_speech1,0.1754459062261931,15
more tolerant,last_grade_finished_school4,0.16542240269516656,16
more tolerant,xdanger_communist_teachers_public3,0.16085336922834095,17
more tolerant,last_grade_finished_school5,0.16007663001114575,18
more tolerant,break_friendship_former_communist5,0.15873193326054671,19
more tolerant,child_rearing_conformity3,0.15780190889318257,20
more tolerant,danger_communists_defense_plants3,0.14325051328563318,21
more tolerant,respondents_religious_preference3,0.14278091859446604,22
more tolerant,two_important_apprehension2,0.13510982787737227,23
more tolerant,dangers_reporting_communists_fbi3,0.1348473363814293,24
more tolerant,break_friendship_recent_communist5,0.13328727667082274,25
more tolerant,remember_hiss_caught8,-0.13004651494943897,26
more tolerant,lead_v1504,0.12479970286923109,27
more tolerant,congressional_committees_interfere_fbi2,0.11917178355940508,28
more tolerant,danger_communists_defense_plants2,0.10053716167334152,29
more tolerant,public_v1505,-0.09972384961651114,30
more tolerant,rosenbergs_caught2,0.09732661378759166,31
more tolerant,region4,-0.0934954073952888,32
more tolerant,us_regionsouth,-0.0854264532518667,33
more tolerant,region7,0.08301013685273143,34
more tolerant,admitted_communist_fire_college_professor5,0.07721231101152723,35
more tolerant,xany_dangers_reporting_communists30,0.07504423676879735,36
more tolerant,child_rearing_conformity4,0.07328987485746886,37
more tolerant,respondent_read_heard_reporting1,0.07262107618626673,38
more tolerant,danger_communist_college_teachers3,0.07110814611259042,39
more tolerant,favor_government_ownership_communist5,0.07105298531257029,40
more tolerant,congressmen_investigating_communism8,-0.07044444455466177,41
more tolerant,leader_best_handles_us_communists8,-0.06855632947887837,42
more tolerant,child_rearing_conformity2,-0.06586418047959443,43
more tolerant,public_v1513,-0.06269374738166002,44
more tolerant,respondents_occupation95,-0.06018471631181145,45
more tolerant,censor_socialist_teacher5,-0.0600087584140551,46
more tolerant,occupation_head_immediate_family91,0.0547950732295305,47
more tolerant,respondents_occupation20,0.047060961850942454,48
more tolerant,fbi_knows_us_communists2,0.04357686166209576,49
more tolerant,xrespondent_talked_americans1,0.043401344943133295,50
more tolerant,many_communists_us5,0.03936052351734924,51
more tolerant,bad_things_congressional_committee_done90,-0.03814195771749305,52
